                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7954,                 2.6023,                 1.6349,                0.36632,                0.29677,                0.26302,                0.12845,                 2.0783,                 2.4771,                 1.8086,             0.00066557,             0.00066557,             0.00066557
                      2,                 1.8476,                 1.8902,                  1.683,                0.26923,                0.28629,                0.23292,                 0.1186,                 2.1862,                 2.4197,                 1.9517,              0.0013059,              0.0013059,              0.0013059
                      3,                 1.8253,                 1.8008,                 1.6719,                 0.4341,                0.29516,                0.29202,                0.14247,                 2.0709,                 1.9735,                 1.7406,              0.0019197,              0.0019197,              0.0019197
                      4,                 1.7807,                 1.7425,                 1.6348,                0.42838,                0.34382,                0.31956,                0.16093,                 2.0234,                 1.8868,                 1.7192,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7156,                 1.6167,                 1.5837,                0.46936,                0.31882,                0.34112,                0.17714,                 1.9455,                 1.8684,                 1.6985,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.6517,                 1.5311,                 1.5446,                0.48047,                0.37392,                0.36977,                0.19733,                 1.8589,                 1.6758,                 1.6156,               0.001802,               0.001802,               0.001802
                      7,                 1.6409,                 1.4971,                 1.5214,                0.43742,                0.37097,                0.35731,                0.18396,                 1.8932,                 1.7047,                 1.6153,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5889,                 1.4302,                 1.4909,                0.45176,                 0.3871,                 0.3666,                0.19717,                 1.8342,                 1.6225,                 1.5734,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5731,                 1.3976,                 1.4769,                0.49478,                 0.4293,                0.39415,                0.21231,                  1.856,                 1.6125,                 1.6115,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.5592,                 1.3885,                 1.4703,                 0.4702,                0.40565,                0.38839,                  0.209,                 1.8726,                 1.6033,                 1.5951,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5353,                 1.3432,                 1.4582,                0.50736,                0.41532,                0.40924,                0.23247,                 1.7888,                 1.5175,                 1.5427,               0.001604,               0.001604,               0.001604
                     12,                 1.5355,                 1.3497,                 1.4597,                0.54006,                0.42527,                0.42487,                0.23839,                 1.7863,                 1.5059,                 1.5355,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4958,                 1.3021,                 1.4307,                 0.5461,                0.42446,                0.43102,                 0.2394,                 1.8137,                 1.4662,                 1.5445,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5177,                 1.3165,                 1.4355,                0.53452,                0.41747,                0.42665,                0.24558,                 1.7497,                 1.4673,                 1.5101,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4744,                 1.2874,                 1.4204,                0.54193,                0.42903,                 0.4285,                0.24318,                 1.7291,                 1.4453,                 1.5094,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4658,                 1.2478,                 1.4037,                0.53007,                0.44086,                0.43385,                0.24251,                 1.7574,                 1.4127,                 1.5251,               0.001406,               0.001406,               0.001406
                     17,                 1.4654,                 1.2456,                 1.4016,                0.53701,                0.45484,                0.44623,                 0.2533,                 1.7378,                 1.3944,                 1.5331,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4575,                 1.2219,                 1.3908,                0.56561,                0.44462,                 0.4502,                0.25804,                 1.7472,                 1.4179,                 1.5162,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.4452,                 1.2154,                 1.3827,                0.57238,                0.47043,                0.46316,                0.26934,                 1.6944,                 1.3605,                 1.4697,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.4195,                 1.1972,                 1.3778,                0.56854,                0.45753,                0.45597,                0.26446,                 1.6981,                  1.362,                 1.4815,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.411,                 1.1721,                 1.3652,                0.57359,                0.45726,                0.45751,                0.26441,                 1.7309,                 1.3951,                 1.5139,               0.001208,               0.001208,               0.001208
                     22,                 1.4097,                 1.1633,                 1.3629,                0.57344,                0.48091,                0.46633,                0.26733,                 1.7106,                 1.3509,                 1.4832,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4103,                  1.164,                  1.356,                0.54237,                0.44919,                0.45827,                0.26654,                 1.7091,                 1.3724,                 1.4602,              0.0011288,              0.0011288,              0.0011288
                     24,                  1.403,                  1.163,                 1.3647,                0.54241,                0.45565,                0.45752,                0.26714,                 1.7002,                 1.3551,                 1.4771,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3816,                 1.1334,                 1.3478,                0.57884,                0.48145,                0.47368,                0.27549,                 1.7092,                 1.3209,                 1.4811,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3761,                 1.1293,                 1.3419,                0.55969,                0.47285,                0.46891,                0.27099,                 1.7026,                 1.3163,                  1.491,                0.00101,                0.00101,                0.00101
                     27,                 1.3635,                 1.1154,                 1.3332,                0.58322,                0.47634,                0.47994,                0.27859,                 1.6954,                 1.3028,                 1.4726,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.3634,                 1.1097,                 1.3294,                0.54705,                0.47204,                0.47025,                0.27816,                 1.6834,                 1.3087,                 1.4745,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.3525,                 1.0985,                 1.3239,                 0.5651,                0.49328,                0.47853,                0.28092,                  1.683,                 1.3074,                 1.4816,              0.0008912,              0.0008912,              0.0008912
