               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07316,            0.017884,                   0,             0.49924,             0.39435,              0.3363,             0.14109,            0.058029,           0.0068539,                   0,             0.07005,           0.0033278,           0.0033278
                   1,            0.056575,            0.012577,                   0,             0.50103,             0.37979,             0.34909,             0.13897,            0.059897,           0.0064333,                   0,            0.039984,           0.0065952,           0.0065952
                   2,            0.054607,            0.012337,                   0,             0.46009,             0.36559,             0.32649,             0.15101,            0.058057,           0.0068336,                   0,           0.0098516,           0.0097966,           0.0097966
                   3,            0.053333,            0.012938,                   0,             0.48708,             0.40726,             0.33013,             0.14459,            0.053559,           0.0071908,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.051004,            0.012235,                   0,             0.52812,              0.4422,              0.3977,             0.19871,            0.051826,           0.0064594,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.049505,            0.012184,                   0,             0.53025,             0.45819,             0.41807,             0.21493,            0.051286,           0.0064628,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.047979,            0.011447,                   0,             0.56462,             0.43629,             0.41946,             0.21838,            0.050339,           0.0065049,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047211,             0.01119,                   0,             0.56372,              0.4707,             0.44582,             0.23713,             0.04889,            0.006197,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046894,            0.011274,                   0,               0.535,             0.49146,             0.45004,               0.241,            0.048886,           0.0061413,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04589,            0.011076,                   0,             0.58512,             0.49704,             0.45586,             0.23716,             0.04798,           0.0061667,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.045455,            0.011061,                   0,             0.61064,             0.48333,             0.46879,             0.25357,            0.047452,           0.0059563,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044803,            0.011094,                   0,             0.59956,             0.49731,             0.47338,             0.24611,            0.047814,           0.0059624,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.044345,            0.011101,                   0,             0.57639,             0.44839,             0.44975,             0.24002,            0.050028,           0.0059917,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044531,            0.010811,                   0,             0.59825,             0.49489,             0.46874,             0.24889,            0.047494,           0.0060148,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043222,            0.010558,                   0,             0.59508,             0.49973,             0.47676,             0.26472,            0.047192,           0.0059296,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.043193,            0.010711,                   0,             0.61452,             0.51102,             0.49464,             0.27215,            0.045987,           0.0058779,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.04306,            0.010699,                   0,             0.57841,             0.51989,             0.49384,             0.27084,            0.045824,           0.0058861,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.042769,            0.010576,                   0,             0.57966,             0.49597,             0.47161,             0.26111,            0.047321,           0.0058765,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042376,            0.010507,                   0,             0.59489,             0.48952,             0.47975,             0.26344,            0.047833,           0.0058015,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042209,            0.010252,                   0,             0.58202,             0.48387,             0.47727,             0.26892,             0.04627,           0.0058504,                   0,            0.008218,            0.008218,            0.008218
